player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
130158,2017,Jonathan Bauman,Argentina,Argentina,30/03/1991,Attack,Right,178,1800000,1800000
164472,2017,Nestoras Mytidis,Cyprus,Cyprus,01/06/1991,Attack,Right,185,225000,405000
533733,2017,Markeljan Misku,,Greece,21/03/1997,Attack,Right,0,,45000
96444,2017,Fotis Georgiou,Greece,Greece,19/07/1985,Attack,Right,168,90000,540000
153237,2017,Arnor Ingvi Traustason,Iceland,Iceland,30/04/1993,Attack,Right,183,1350000,1800000
277361,2017,Vinicius,Brazil,Brazil,07/03/1993,Defender,Left,183,293000,810000
280644,2017,Panagiotis Dounis,Greece,Greece,29/03/1997,Goalkeeper,Right,184,90000,90000
74900,2017,Jakub Sylvestr,CSSR,Slovakia,02/02/1989,Attack,Right,178,180000,1620000
194998,2017,Edison Flores,Peru,Peru,14/05/1994,Attack,Left,170,2250000,3600000
336724,2017,Yann Rolim,Brazil,Brazil,15/03/1995,Attack,Right,173,225000,360000
79607,2017,Marco Meilinger,Austria,Austria,03/08/1991,Midfield,Left,181,180000,900000
529113,2017,Markus Iversen,,Denmark,31/01/1999,Goalkeeper,Right,184,68000,68000
161465,2017,Tamati Williams,New Zealand,New Zealand,19/01/1984,Goalkeeper,,192,,315000
96676,2017,Alexandros Kontos,Greece,Greece,12/09/1986,Attack,Left,177,90000,405000
477800,2017,Dimitrios Trepeklis,,Greece,17/01/1998,Attack,,0,,
533734,2017,Klinton Noka,,Greece,18/02/1996,Attack,,0,,45000
533732,2017,Aleksandro Zaimaj,Greece,Albania,19/01/1998,Attack,Left,172,45000,158000
379198,2017,Matheus Vargas,Brazil,Brazil,18/06/1996,Attack,Right,181,1350000,1350000
87423,2017,Panagiotis Zorbas,Greece,Greece,21/04/1987,Attack,Both,177,,450000
533728,2017,Queven,Brazil,Brazil,21/11/1998,Midfield,Left,176,,45000
93689,2017,Kevin Diogo,France,France,08/07/1991,Midfield,Right,181,,225000
186342,2017,Nikolaos Kritikos,Greece,Greece,01/11/1994,Midfield,Left,187,225000,270000
121532,2017,Kostakis Artymatas,Cyprus,Cyprus,15/04/1993,Midfield,Right,184,1080000,1080000
199204,2017,Lorenzo Menicagli,Italy,Italy,13/10/1994,Defender,Right,178,,90000
160413,2017,Mathieu Gomes,France,France,06/03/1985,Defender,Right,179,,450000
392241,2017,Antonis Anastasiou,Greece,Greece,13/09/1996,Defender,Left,170,180000,180000
63490,2017,Aristidis Soiledis,Greece,Greece,08/02/1991,Defender,Left,181,180000,630000
74626,2017,Nikola Lekovic,Jugoslawien (SFR),Serbia,19/12/1989,Defender,Left,176,225000,900000
17239,2017,Anastasios Venetis,Greece,Greece,24/03/1980,Defender,Right,185,,540000
